srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
94.130.9.194,45550,192.168.1.223,49246,6,2,112,2,342,52,56,60,5,52,171,290,168,244305,244305,244305,0,50,50,50,0,244305,244305,244305,244305,0,0,0,0,0,2,112,2,342,0,1,0,0,112,104,0,1
192.168.1.223,56128,176.9.2.145,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,97,121536,242976,171741,243356,243356,243356,0,486041,486041,486041,486041,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,56130,176.9.2.145,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,96,122064,244033,172489,244891,244891,244891,0,488679,488679,488679,488679,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,45746,46.4.119.208,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,97,119226,238355,168473,246750,246750,246750,0,484803,484803,484803,484803,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,45748,46.4.119.208,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,97,124072,248047,175327,249976,249976,249976,0,497727,497727,497727,497727,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,45748,46.4.119.208,45550,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
192.168.0.75,34880,216.58.202.227,443,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,18294,18294,18294,18294,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,68,192.168.0.1,67,17,1,328,0,0,328,328,328,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,328,0,0,0
88.99.142.163,443,192.168.0.75,54936,6,2,135,1,87,52,67,83,21,87,87,87,0,199425,199425,199425,0,0,0,0,0,199425,199425,199425,199425,0,0,0,0,0,2,135,1,87,1,1,0,0,104,52,0,0
46.4.119.208,45700,192.168.0.75,40062,6,1,356,1,52,356,356,356,0,52,52,52,0,0,0,0,0,0,0,0,0,30,30,30,30,0,0,0,0,0,1,356,1,52,1,0,0,0,52,52,0,1
192.168.0.59,57621,255.255.255.255,57621,17,1,68,0,0,68,68,68,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,68,0,0,0
64.233.190.189,443,192.168.0.75,40424,6,1,112,1,52,112,112,112,0,52,52,52,0,0,0,0,0,0,0,0,0,28,28,28,28,0,0,0,0,0,1,112,1,52,1,0,0,0,52,52,0,0
192.168.0.72,57364,239.255.255.250,1900,17,1,201,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,201,0,0,0
192.168.0.72,57364,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,1000778,0,0,0,0,1000778,1000778,1000778,0,1,201,0,0,0,0,0,0,402,0,0,0
192.168.0.75,42592,187.122.188.112,53,17,2,124,2,303,62,62,62,0,123,151,180,40,468,468,468,0,4120,4120,4120,0,19767,19767,19767,19767,0,0,0,0,0,2,124,2,303,0,0,0,0,124,303,0,0
192.168.0.75,42592,187.122.188.115,53,17,1,62,1,180,62,62,62,0,180,180,180,0,0,0,0,0,0,0,0,0,15506,15506,15506,15506,0,0,0,0,0,1,62,1,180,0,0,0,0,62,180,0,0
192.168.0.75,68,192.168.0.1,67,17,1,328,0,0,328,328,328,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,328,0,0,0
94.130.9.194,45550,10.0.0.1,50428,6,4,364,0,0,52,91,130,45,0,-1,0,0,1010,422709,768001,389162,0,0,0,0,1268128,1268128,1268128,1268128,0,0,0,0,0,4,364,0,0,2,0,0,0,208,0,0,live"
94.130.9.194,45550,10.0.0.1,50428,6,1,130,0,0,130,130,130,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0,0,1,0,0,0,52,0,0,1
94.130.9.194,45550,10.0.0.1,50428,6,1,130,0,0,130,130,130,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0,0,1,0,0,0,52,0,0,1
94.130.9.194,45550,10.0.0.1,50428,6,1,130,0,0,130,130,130,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0,0,1,0,0,0,52,0,0,1
94.130.9.194,45550,10.0.0.1,50428,6,1,130,0,0,130,130,130,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,0,0,1,0,0,0,52,0,0,1
192.168.0.72,57364,239.255.255.250,1900,17,1,201,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,201,0,0,0
192.168.0.75,42592,187.122.188.112,53,17,2,122,2,494,61,61,61,0,241,247,253,8,148,148,148,0,12792,12792,12792,0,28279,28279,28279,28279,0,0,0,0,0,2,122,2,494,0,0,0,0,122,494,0,0
