"136.243.102.154,443,192.168.0.72,63176,6,3,3045,3,156,45,1015,1500,840,40,52,76,20,132,58343,116555,82323,116631,340317,564003,316339,680775,680775,680775,680775,0,0,0,0,0,3,3045,3,156,2,1,0,0,120,120,0,live"
"192.168.0.72,63181,94.130.143.162,443,6,2,116,1,72,40,58,76,25,72,72,72,0,214844,214844,214844,0,0,0,0,0,214844,214844,214844,214844,0,0,0,0,0,2,116,1,72,1,1,0,0,80,40,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,1,490,0,0,490,490,490,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490,0,0,0,0,0,0,490,0,0,live"
"192.168.0.72,63226,136.243.102.154,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,210454,210454,210454,210454,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"136.243.102.154,443,192.168.0.72,63176,6,1,72,1,40,72,72,72,0,40,40,40,0,0,0,0,0,0,0,0,0,912,912,912,912,0,0,0,0,0,1,72,1,40,1,0,0,0,40,40,0,live"
"192.168.0.72,63247,151.139.236.180,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,126641,126641,126641,126641,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"88.99.142.163,443,192.168.0.72,62859,6,2,111,1,75,40,55,71,21,75,75,75,0,213388,213388,213388,0,0,0,0,0,213388,213388,213388,213388,0,0,0,0,0,2,111,1,75,1,1,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63284,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"192.168.0.72,63238,94.31.29.44,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,132582,132582,132582,132582,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"136.243.102.154,443,192.168.0.72,63234,6,2,111,1,75,40,55,71,21,75,75,75,0,209637,209637,209637,0,0,0,0,0,209637,209637,209637,209637,0,0,0,0,0,2,111,1,75,1,1,0,0,80,40,0,live"
"192.168.0.59,41461,239.255.255.250,1900,17,3,456,0,0,150,152,153,1,0,-1,0,0,100547,152636,204725,73664,0,0,0,0,305272,305272,305272,305272,0,0,0,0,0,3,456,0,0,0,0,0,0,456,0,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,1,490,0,0,490,490,490,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490,0,0,0,0,0,0,490,0,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,4,1021,0,0,177,255,490,156,0,-1,0,0,204803,239896,307531,58586,0,0,0,0,719690,719690,719690,719690,0,0,0,0,0,4,1021,0,0,0,0,0,0,1021,0,0,live"
"136.243.102.154,443,192.168.0.72,63173,6,1,241,1,40,241,241,241,0,40,40,40,0,0,0,0,0,0,0,0,0,976,976,976,976,0,0,0,0,0,1,241,1,40,1,0,0,0,40,40,0,live"
"192.168.0.59,41461,239.255.255.250,1900,17,1,150,0,0,150,150,150,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,150,0,0,live"
"192.168.0.72,64016,224.0.0.252,5355,17,2,100,0,0,50,50,50,0,0,-1,0,0,471272,471272,471272,0,0,0,0,0,471272,471272,471272,471272,0,0,0,0,0,2,100,0,0,0,0,0,0,100,0,0,live"
